Name,GP,PPGPointsPoints per game,RPGReboundsRebounds per game,APGAssistsAssists per game
 Todd,1,4,1,0
 Toppin,9,7,2.6,0.8
 Toscano-Anderson,8,3.1,2,1.8
 Towns,8,23.4,9.3,3.5
 Trent Jr.,10,15.3,3.3,1.4
 Tucker,8,4.9,5.1,1.6
 Turner,10,14.7,7.9,1.2
 Valanciunas,10,19.3,14.2,2.7
 Valentine,5,0.6,0.2,0
 Vanderbilt,8,5.9,6.8,0.8
 VanVleet,10,18.7,5.3,7.1
 Vassell,9,11.9,4.1,1.7
 Vincent,7,1.3,1,1.6
 Vucevic,8,13.8,10.8,4.6
 Wade,7,3.6,2.9,0.9
 Wagner,10,14.1,3.5,1.9
 Wagner,9,5.1,2.8,0.6
 Walker IV,9,11.2,3.2,2.9
 Walker,9,12.7,3,3
 Wanamaker,6,3,1.8,2.8
 Washington Jr.,2,2.5,0.5,0
 Washington,7,9.9,4.6,1.4
 Westbrook,9,20.2,8.4,8.1
 White,9,13.7,3.4,5.7
 Whiteside,8,6.6,7.6,0.3
 Wiggins,8,15.9,4.5,1.6
 Williams III,8,9.3,8.5,1.4
 Williams,9,7,2.4,1.2
 Williams,8,6.8,3.8,1.4
 Williams,6,5.3,1.7,1.3
 Williams,5,6.6,2.2,0.6
 Williams,9,5.7,1.4,0.6
 Windler,6,3.5,0.8,1
 Winslow,7,2.7,2,1.1
 Wood,8,19.9,12.5,2.4
 Wright IV,1,3,0,0
 Wright,8,2.1,2.4,1.9
 Young,6,5.7,3.7,2.8
 Young,9,22.4,3.8,9.2
 Yurtseven,6,2.3,1.2,0
 Zeller,9,5.6,5.2,1
 Zubac,8,8.9,6.6,1.6
 Ellington,1,3,2,1
 Metu,1,3,0,0
 Jones,1,0,1,0
